Date,Open,High,Low,Close,Volume
2018-01-02,752.88,890.0,752.55,858.78,451786.90648497
2018-01-03,858.47,954.73,840.0,942.01,312084.51808148
2018-01-04,942.01,997.0,893.24,940.81,353034.42616778
2018-01-05,939.42,1023.6,930.0,962.77,302148.30840873
2018-01-06,962.74,1014.2,951.38,1004.3,128011.73856786
2018-01-07,1004.9,1116.0,999.5,1115.8,203512.08324672
2018-01-08,1115.8,1225.0,965.18,1129.0,439390.07032672
2018-01-09,1129.0,1299.0,1119.1,1283.8,296970.51403973
2018-01-10,1284.0,1382.0,1200.0,1246.8,380395.6966317
2018-01-11,1246.0,1332.2,1100.0,1135.1,360551.60201607
2018-01-12,1135.2,1285.0,1073.1,1257.0,209155.57133895
2018-01-13,1257.0,1424.3,1252.5,1379.9,202787.7919056
2018-01-14,1380.0,1385.0,1256.0,1349.7,176866.79101932
2018-01-15,1349.8,1377.9,1264.0,1276.9,137558.79593875
2018-01-16,1276.1,1280.0,867.0,1019.6,672041.32993028
2018-01-17,1019.7,1088.3,770.0,1021.6,686636.75394526
2018-01-18,1021.6,1079.0,940.0,994.0,374016.2024133
2018-01-19,993.92,1079.0,960.0,1032.6,174907.11618156
2018-01-20,1032.6,1160.0,1029.2,1146.3,163876.50397756
2018-01-21,1146.5,1146.7,1001.0,1047.7,197618.99535919
2018-01-22,1047.7,1084.1,912.46,997.52,238875.67700848
2018-01-23,997.44,1022.0,905.21,981.8,228024.68142193
2018-01-24,981.81,1070.6,952.03,1061.6,173282.59899318
2018-01-25,1061.6,1102.4,1023.1,1048.2,162053.4950817
2018-01-26,1047.7,1078.6,983.0,1046.9,138706.74929474
2018-01-27,1046.1,1125.4,1031.4,1113.9,105775.28321739
2018-01-28,1113.5,1265.0,1108.9,1245.5,189342.70143541
2018-01-29,1245.5,1260.0,1154.5,1174.3,139630.83109732
2018-01-30,1174.3,1183.0,1041.0,1076.9,246828.75858809
2018-01-31,1076.9,1128.8,1025.0,1120.0,136714.86217373
2018-02-01,1119.8,1179.4,985.0,1035.0,285589.40044129
2018-02-02,1035.5,1039.1,768.0,923.13,520780.56316366
